,location_inland,location_coast,season_spring,season_summer,season_fall,season_winter,time_dawn,time_morning,time_afternoon,time_night,NO2,O3,SO2,CO,ET
163,1,0,0,0,0,1,0,0,1,0,8.478261,0.031458,1.0,0.31304299999999996,1.0
164,1,0,0,1,0,0,0,0,0,1,8.521739,0.037792,1.385714,0.4,1.0
165,0,1,0,0,0,1,0,1,0,0,8.565217,0.011082999999999999,0.6,0.27826100000000004,1.0
166,1,0,1,0,0,0,1,0,0,0,8.608696,0.031583,4.227273,0.295652,1.0
167,0,1,0,1,0,0,0,0,0,1,8.652174,0.022917,2.772727,0.4125,1.0
168,0,1,0,0,0,1,1,0,0,0,8.652174,0.024125,0.0,0.42173900000000003,1.0
169,1,0,0,0,1,0,0,0,0,1,8.652174,0.024416999999999998,0.090909,0.24166700000000002,1.0
170,0,1,1,0,0,0,0,1,0,0,8.652174,0.024416999999999998,1.985714,0.279167,1.0
171,0,1,1,0,0,0,0,1,0,0,8.652174,0.024416999999999998,1.985714,0.279167,1.0
172,0,1,1,0,0,0,0,0,0,1,8.652174,0.024416999999999998,1.985714,0.279167,1.0
173,1,0,1,0,0,0,0,0,0,1,8.652174,0.024416999999999998,1.985714,0.279167,1.0
174,0,1,0,1,0,0,0,0,0,1,8.695652,0.022917,0.8636360000000001,0.104348,1.0
175,1,0,0,0,1,0,0,0,0,1,8.818182,0.02625,1.52381,0.404545,1.0
176,0,1,0,0,1,0,0,0,0,1,8.818182,0.02625,1.52381,0.404545,1.0
177,1,0,0,0,1,0,1,0,0,0,8.913043,0.020708,0.608696,0.282609,1.0
178,1,0,0,1,0,0,0,0,0,1,8.956522,0.030542000000000003,3.8285709999999997,0.221739,1.0
179,1,0,0,1,0,0,0,0,0,1,9.045455,0.023916999999999997,1.05,0.318182,1.0
180,0,1,1,0,0,0,0,1,0,0,9.086957,0.0345,0.227273,0.329167,1.0
181,1,0,1,0,0,0,1,0,0,0,9.130435,0.03125,1.542857,0.229167,1.0
182,1,0,1,0,0,0,0,0,0,1,9.130435,0.03125,1.542857,0.229167,1.0
183,1,0,0,0,1,0,0,0,0,1,9.130435,0.01575,1.181818,0.37916700000000003,1.0
184,1,0,0,0,0,1,0,0,1,0,9.130435,0.029125,1.090909,0.358333,1.0
185,1,0,0,0,1,0,1,0,0,0,9.173913,0.01875,1.5714290000000002,0.416667,1.0
186,0,1,0,0,0,1,0,0,1,0,9.304348,0.007125,1.090909,0.320833,1.0
187,0,1,0,0,1,0,0,0,1,0,9.347826,0.024875,1.045455,0.1625,1.0
188,0,1,0,0,1,0,0,0,0,1,9.391304,0.021417,1.985714,0.291304,1.0
189,1,0,0,0,1,0,0,0,0,1,9.391304,0.021417,1.985714,0.291304,1.0
190,1,0,0,0,0,1,1,0,0,0,9.434783,0.020083,0.045455,0.395652,1.0
191,0,1,0,0,0,1,1,0,0,0,9.478261,0.020041999999999997,0.045455,0.388889,1.0
192,1,0,1,0,0,0,0,1,0,0,9.478261,0.026542000000000003,3.4545449999999995,0.2625,1.0
193,0,1,0,1,0,0,0,0,0,1,9.521739,0.022167,1.545455,0.4,1.0
194,0,1,0,0,1,0,1,0,0,0,9.608696,0.017625,0.9285709999999999,0.3,1.0
195,0,1,0,0,1,0,1,0,0,0,9.608696,0.017625,0.9285709999999999,0.3,1.0
196,1,0,0,0,1,0,1,0,0,0,9.608696,0.017625,0.9285709999999999,0.3,1.0
197,0,1,0,0,1,0,0,0,0,1,9.695652,0.016916999999999998,0.228571,0.3125,1.0
198,1,0,1,0,0,0,0,0,0,1,9.695652,0.015083000000000001,0.636364,0.33913000000000004,1.0
199,1,0,1,0,0,0,0,1,0,0,9.739130000000001,0.032917,0.227273,0.4,1.0
200,0,1,1,0,0,0,0,0,0,1,9.739130000000001,0.029542000000000002,3.071429,0.37916700000000003,1.0
201,1,0,1,0,0,0,0,0,0,1,9.739130000000001,0.029542000000000002,3.071429,0.37916700000000003,1.0
202,1,0,1,0,0,0,0,0,0,1,9.739130000000001,0.029542000000000002,3.071429,0.37916700000000003,1.0
203,0,1,1,0,0,0,0,0,0,1,9.739130000000001,0.029542000000000002,3.071429,0.37916700000000003,1.0
204,1,0,1,0,0,0,0,0,0,1,9.739130000000001,0.029542000000000002,3.071429,0.37916700000000003,1.0
205,1,0,1,0,0,0,0,0,0,1,9.739130000000001,0.029542000000000002,3.071429,0.37916700000000003,1.0
206,1,0,1,0,0,0,0,0,0,1,9.739130000000001,0.029542000000000002,3.071429,0.37916700000000003,1.0
207,0,1,1,0,0,0,0,0,0,1,9.739130000000001,0.029542000000000002,3.071429,0.37916700000000003,1.0
